ID,Quotation Name,Document,Quotation Content,Comment,Codes,Reference,Density,Modified by
1:1,It is difcult to modify the set of ColumnFamliies in an existing clust…,CASSANDRA-44,It is difcult to modify the set of ColumnFamliies in an existing cluster,,User requirement,3:50 - 3:121,1,arjan
1:2,ColumnFamilies may be added when cassandr is not running by editing th…,CASSANDRA-44,"ColumnFamilies may be added when cassandr is not running by editing the confguration fle.
If you need to delete or re-order CFs, you must  1) kill cassandra  2) start it again and wait for log replay to fnish  3) kill cassandra AGAIN  Alternatively on Cassandra 0.4.2 or later:  1) run nodeprobe fush and wait for it to fnish  2) kill cassandra  Then:  4) make your edits (now there is no data in the commitlog)  5) manually remove the sstable fles (-Data.db, -Index.db, and -Filter.db) for the CFs you removed,  and rename fles for CFs you renamed  6) start cassandra and your edits should take efect",,Run-time quality issues,3:141 - 3:742,1,arjan
1:81,jbellis,CASSANDRA-44,jbellis,,Comment,3:828 - 3:834,1,arjan
1:3,Maintaining CF defnitions looks like a good use case for Zookeeper to…,CASSANDRA-44,Maintaining CF defnitions looks like a good use case for Zookeeper to me.,,"Architectural solution benefits and drawbacks
Other system architectural solutions",3:837 - 3:909,2,arjan
1:4,"We  could do it like this:  2- on startup, a cassandra node must conta…",CASSANDRA-44,"We  could do it like this:  2
- on startup, a cassandra node must contact zookeeper and read the column family data.
this is the only time it will abort if ZK is not available.
- when an operation is requested for a columnfamily that does not exist, the node checks  zookeeper to see if that column has been added  - additionally, we can check every hour or so for new columns and removed columns. so  removed CFs could accept ops for a while after ofcially being ""removed."" - adding and re-  moving CFs would be done with a web interface. (I’m strongly in favor of moving the web  UI to Jython; it’s much better suited for this than raw Java.)  At the znode level, we would have /columfamilies/[tablename]/[columnfamily1|columnfamily2|...]  where the columnfamily znodes contain the sort information and any other attributes that  was previously being stored in TableMetadata.
Notes to keep adminning a ZK ensemble relatively painless:  - use the Cassandra seed nodes as the ZK ensemble members. (Both seed nodes and ZK  require a relatively small number of machines in the cluster to participate.) We can ship a  confg fle so that cassandra will continue to Just Work on localhost.
",,Architectural design configuration,3:911 - 4:1158,1,arjan
1:82,jbellis,CASSANDRA-44,jbellis,,Comment,4:1173 - 4:1179,1,arjan
1:5,Brett pointed out on IRC that we’d want to start the namespace with /c…,CASSANDRA-44,Brett pointed out on IRC that we’d want to start the namespace with /cassan-  dra/[clustername],,Architectural component behavior and structure,4:1182 - 4:1276,1,arjan
1:6,to avoid collisions with other ZK users and cassandra clusters.,CASSANDRA-44," to avoid collisions with other ZK users and cassandra clusters.
",,Architectural solution benefits and drawbacks,4:1277 - 4:1342,1,arjan
1:83,junrao,CASSANDRA-44,junrao,,Comment,4:1424 - 4:1429,1,arjan
1:8,"Changing CFs has implications on the logs. Today, the log header has a…",CASSANDRA-44,"Changing CFs has implications on the logs. Today, the log header has an entry for  each CF. Those entries are preallocated at startup and may not be easy to adjust.
",,Technical debt,4:1432 - 4:1596,1,arjan
1:12,Can you point out the relevant code?,CASSANDRA-44,"Can you point out the relevant code?
",,,4:1610 - 4:1646,1,arjan
1:13,You can trace from db.CommitLogHeader.turnon/turnof.,CASSANDRA-44,"You can trace from db.CommitLogHeader.turnon/turnof.
",,,4:1659 - 4:1712,1,arjan
1:84,jbellis,CASSANDRA-44,jbellis,,Comment,4:1716 - 4:1722,1,arjan
1:14,I think that if you were to wipe the system/ and commitlog/ directorie…,CASSANDRA-44,"I think that if you were to wipe the system/ and commitlog/ directories (after  shutdown, restart, shutdown to make sure everything from the commitlog gets replayed into  sstables) then restart w/ a new confg, it would work fne.
Do test this before trying it on important data though! :)  7. jbellis: and by shutdown of course I mean ""kill."" :)",,"Assumptions
User requirement",4:1725 - 4:2069,2,arjan
1:85,jbellis,CASSANDRA-44,jbellis,,Comment,4:2075 - 4:2081,1,arjan
