ID,Quotation Name,Document,Quotation Content,Comment,Codes,Reference,Density,Modified by
31:10,jbellis,CASSANDRA-3671,jbellis,,Comment,3:636 - 3:642,1,arjan
31:1,Would this be a good place to start using the Coda Metrics library?,CASSANDRA-3671,"Would this be a good place to start using the Coda Metrics library?
",,Architectural design configuration,3:645 - 3:713,1,arjan
31:11,scode,CASSANDRA-3671,scode,,Comment,3:717 - 3:721,1,arjan
31:2,"Yes, probably.",CASSANDRA-3671,"Yes, probably.
",,"Architectural solution benefits and drawbacks
Assumptions",3:724 - 3:739,2,arjan
31:3,"So here’s the deal: Other than running into CASSANDRA-3797, there is t…",CASSANDRA-3671,"So here’s the deal: Other than running into CASSANDRA-3797, there is the problem that  we cannot have both the Coda Metrics and our own MBean:s publish under the same class  name (StorageProxy in this case).",,Architectural solution benefits and drawbacks,3:740 - 3:946,1,arjan
31:4,"I considered various options, and decided to at least submit for consi…",CASSANDRA-3671,"I considered various options, and decided to at least submit for consideration something  that might be controversial:",,Architectural solution benefits and drawbacks,4:1 - 4:118,1,arjan
31:5,"I have created an org.apache.cassandra.metrics package, con-  taining…",CASSANDRA-3671,"I have created an org.apache.cassandra.metrics package, con-  taining a ClientRequestMetrics class which has these metrics. The idea is that if we are  going to need to adjust naming conventions anyway, let’s move to a naming convention  which makes sense to the user/system administrator, rather than the implementor (""Stor-  ageProxy"" means very little to most people who don’t know the code, I would suspect).
",,Architectural component behavior and structure,4:120 - 4:533,1,arjan
31:6,"It does create a split-world syndrome of ""new style"" vs. ""old style"" m…",CASSANDRA-3671,"It does create a split-world syndrome of ""new style"" vs. ""old style"" metrics though. I’d  love input.
",,Architectural solution benefits and drawbacks,4:534 - 4:636,1,arjan
31:12,scode,CASSANDRA-3671,scode,,Comment,4:879 - 4:883,1,arjan
31:7,We could also convert everything in StorageProxy to metrics and leave…,CASSANDRA-3671,"We could also convert everything in StorageProxy to metrics and leave naming  unaltered, assuming metrics can express everything we currently have in the MBean, which  I’m skeptical of. Haven’t checked, but other than data types like arrays, we provide methods  for invocation which is not a metric at all.
",,Architectural component behavior and structure,4:886 - 4:1193,1,arjan
31:13,brandon.williams,CASSANDRA-3671,brandon.williams,,Comment,4:1280 - 4:1295,1,arjan
31:8,"I’m +1 on this approach, because we need to keep things backwards-comp…",CASSANDRA-3671,"I’m +1 on this approach, because we need to keep things backwards-compatible for ex-  isting monitoring solutions, but ultimately I’m unhappy with the current state of JMX and  starting fresh like you have here is a good way to solve it. Fleshing out o.a.c.metrics looks  like the future to me.
",,Architectural solution benefits and drawbacks,4:1405 - 4:1700,1,arjan
31:14,urandom,CASSANDRA-3671,urandom,,Comment,4:2349 - 4:2355,1,arjan
31:9,"Otherwise, +1 from me.",CASSANDRA-3671,"Otherwise, +1 from me.
",,Architectural solution benefits and drawbacks,5:125 - 5:148,1,arjan
32:39,Selectively Disable hinted handof for a data center,CASSANDRA-6157,Selectively Disable hinted handof for a data center,,User requirement,3:52 - 3:102,1,arjan
32:1,Cassandra supports disabling the hints or reducing the window for hint…,CASSANDRA-6157,Cassandra supports disabling the hints or reducing the window for hints,,Existing system architecture description,3:122 - 3:192,1,arjan
32:2,It would be helpful to  have a switch which stops hints to a down data…,CASSANDRA-6157,"It would be helpful to  have a switch which stops hints to a down data center but continue hints to other DCs.
This is helpful during data center fail over as hints will put more unnecessary pressure on the DC  taking double trafc. Also since now Cassandra is under reduced reduncany, we don’t want to  disable hints within the DC.
",,"Motivation of design issue
User requirement",3:194 - 3:527,2,arjan
32:27,kohlisankalp,CASSANDRA-6157,kohlisankalp,,Comment,3:726 - 3:737,1,arjan
32:3,The reason to create new Map on modifcation is because  Yaml reader cr…,CASSANDRA-6157,"The reason to create new Map on modifcation is because  Yaml reader creates a HashMap by default which is not concurrent.
",,Architectural component behavior and structure,3:757 - 3:879,1,arjan
32:28,kohlisankalp,CASSANDRA-6157,kohlisankalp,,Comment,4:691 - 4:702,1,arjan
32:4,The reason I create a new map on changes is because snake yaml creates…,CASSANDRA-6157,"The reason I create a new map on changes is because snake yaml creates  a non concurrent hash map when loading the yaml. I could not fnd how to tell it to create  a concurrent map. So on future changes, I create a new concurrent map. If you have sug-  gestions then let me know.
",,Architectural component behavior and structure,4:708 - 4:987,1,arjan
32:29,jbellis,CASSANDRA-6157,jbellis,,Comment,4:1542 - 4:1548,1,arjan
32:5,Instead of boolean + override could we just have this? # may either be…,CASSANDRA-6157," Instead of boolean + override could we just have this?
# may either be ""true"" or ""false"" to enable globally, or a set of datacenters  to enable  # hinted_handoff_enabled: true  # hinted_handoff_enabled: {’dc1’, ’dc2’}",,Architectural component behavior and structure,4:1550 - 4:1768,1,arjan
32:6,"Requires some string parsing in Confg, but is backwards compatible wit…",CASSANDRA-6157,"Requires some string parsing in Confg, but is backwards compatible without adding a two-  layer approach of ""turn it on, but turn it back of sometimes.""",,Architectural solution benefits and drawbacks,4:1771 - 4:1922,1,arjan
32:30,lyubent,CASSANDRA-6157,lyubent,,Comment,5:5 - 5:11,1,arjan
32:7,Patch looks good except for a few nits,CASSANDRA-6157, Patch looks good except for a few nits,,Architectural solution benefits and drawbacks,5:13 - 5:51,1,arjan
32:41,kohlisankalp,CASSANDRA-6157,kohlisankalp,,Comment,5:564 - 5:575,1,arjan
32:40,Looks good except that I did not see this change in v3 patch,CASSANDRA-6157, Looks good except that I did not see this change in v3 patch,,Architectural solution benefits and drawbacks,5:577 - 5:637,1,arjan
32:31,jbellis,CASSANDRA-6157,jbellis,,Comment,5:836 - 5:842,1,arjan
32:8,Suggest just switching to CDL?,CASSANDRA-6157,"Suggest just switching to CDL?
",,Technology solution,5:1152 - 5:1183,1,arjan
32:9,"(I don’t think we can have a YAML construct that can be ""either a stri…",CASSANDRA-6157,"(I don’t think we can have a YAML construct that can be ""either a string, or a yaml list""  but I’m not an expert so I may be wrong on that point.)",,"Architectural solution benefits and drawbacks
Assumptions",5:1184 - 5:1329,2,arjan
32:10,"P.S. We typically just use Confg as a ""raw values"" dump and do extra p…",CASSANDRA-6157,"P.S. We typically just use Confg as a ""raw values"" dump and do extra parsing in DatabaseDescrip-  tor if necessary.
",,Existing system architecture description,6:1 - 6:117,1,arjan
32:32,jbellis,CASSANDRA-6157,jbellis,,Comment,6:122 - 6:128,1,arjan
32:11,"FWIW this is a thing, but probably overkill here unless we are worried…",CASSANDRA-6157,"FWIW this is a thing, but probably overkill here unless we are worried about people  having commas or spaces in their datacenter names: https://github.com/FasterXML/jackson-  dataformat-csv",,"Architectural design configuration
Architectural solution benefits and drawbacks",6:131 - 6:319,2,arjan
32:33,kohlisankalp,CASSANDRA-6157,kohlisankalp,,Comment,6:326 - 6:337,1,arjan
32:12,"Here are the problems and why i chose what we have.{’dc1’, ’dc2’} and…",CASSANDRA-6157,"Here are the problems and why i chose what we have.{’dc1’, ’dc2’} and  [’dc1’, ’dc2’] - If you specify this, snake yaml does not accept it as a string. It needs to be  wrapped in """" like ""{’dc1’,’dc2’}""",,Architectural solution benefits and drawbacks,6:340 - 6:541,1,arjan
32:13,"""dc1,dc2"" or ""dc1""- This can be done. In Java, this will come as a str…",CASSANDRA-6157,"""dc1,dc2"" or ""dc1""- This can be done. In Java, this will come as a string dc1,dc2 or  dc1(without quotes"") .
One of the problems with this is that if someone has a typo in true or false, it will treat is  as a data center name. I have to do something like  if (hinted_handof_enabled.toLowerCase().equals(""true"") || hinted_handof_enabled.toLowerCase().equals(""false""))  {  hinted_handof_enabled_default = Boolean.parseBoolean(hinted_handof_enabled);  } else {  split it by , and get the dc names.
}  So if someone types it as true1, we will treat it as a data center name.If this is fne, I  can do the changes.
",,Architectural solution benefits and drawbacks,6:544 - 6:1156,1,arjan
32:34,lyubent,CASSANDRA-6157,lyubent,,Comment,6:1161 - 6:1167,1,arjan
32:14,"+1 on the python set literals {’dc1’, ’dc2’},",CASSANDRA-6157,"+1 on the python set literals {’dc1’, ’dc2’},",,Architectural solution benefits and drawbacks,6:1170 - 6:1214,1,arjan
32:15,we will however have to wrap them  in quotes to keep snake yaml happy…,CASSANDRA-6157,"we will however have to wrap them  in quotes to keep snake yaml happy and so end up with ""{’dc1’, ’dc2’}"".",,Architectural component behavior and structure,6:1216 - 6:1321,1,arjan
32:16,This will require  some extra parsing on our end to strip the *’* howe…,CASSANDRA-6157,"This will require  some extra parsing on our end to strip the *’* however it will allow for spaces in DC names.
",,Architectural solution benefits and drawbacks,6:1323 - 6:1435,1,arjan
32:17,"As for DCs with comma names, where we split the parameter supplied we…",CASSANDRA-6157,"As for DCs with comma names, where we split the parameter supplied we can use regular  expressions to only split on commas that are outside of the single quotation marks above,  eg:  // in cassandra.yaml we have = hinted_handoff_enabled: ""{’DC1’,’DC,2’}""  final String [] dcs = hinted_handoff_enabled.substring(1, hinted_handoff_enabled.len  - 1).split("",(?=([^’]*’[^’]*’)*[^’]*$)"");  for(final String dc : dcs)  {  System.out.println("" DC => "" + dc);  hinted_handoff_enabled_by_dc.add(dc.trim());  }  // Output  // DC => ’DC1’  // DC => ’DC,2’",,Architectural component behavior and structure,6:1436 - 6:1979,1,arjan
32:35,jbellis,CASSANDRA-6157,jbellis,,Comment,6:1986 - 6:1992,1,arjan
32:18,I’m okay with that downside. I think this makes the most sense of the…,CASSANDRA-6157,"I’m okay with that downside. I think this makes the most sense of the alternatives.
",,Architectural solution benefits and drawbacks,6:2228 - 6:2312,1,arjan
32:19,"Brandon says we do support spaces in DC names, so we would need to all…",CASSANDRA-6157,"Brandon says we do support spaces in DC names, so we would need to allow escaping  those. At that point it probably makes more sense to use a ""real"" csv library rather than  hand-rolling it.
",,"Architectural design configuration
Architectural solution benefits and drawbacks",7:1 - 7:192,2,arjan
32:36,kohlisankalp,CASSANDRA-6157,kohlisankalp,,Comment,7:332 - 7:343,1,arjan
32:20,I am using Super  CSV library(http://supercsv.sourceforge.net).,CASSANDRA-6157,I am using Super  CSV library(http://supercsv.sourceforge.net).,,Architectural design configuration,7:398 - 7:460,1,arjan
32:37,aleksey,CASSANDRA-6157,aleksey,,Comment,7:1561 - 7:1567,1,arjan
32:21,Why exactly do we have csv in our yaml when yaml has perfectly good bu…,CASSANDRA-6157,"Why exactly do we have csv in our yaml when yaml has perfectly good built-in  support for lists?
",,"Architectural solution benefits and drawbacks
Assumptions",7:1570 - 7:1667,2,arjan
32:22,And there is zero reasons to collate the two confg options (enabled/di…,CASSANDRA-6157,And there is zero reasons to collate the two confg options (enabled/disabled + list of DCs) in  one yaml param. This should’ve been a boolean global {{hinted_handof_enabled}} param  plus a separate yaml list for the HH DC blacklist - {{hinted_handof_disabled_datacenters}},,Architectural solution benefits and drawbacks,7:1668 - 7:1939,1,arjan
32:38,aleksey,CASSANDRA-6157,aleksey,,Comment,7:2294 - 7:2300,1,arjan
32:23,and  I agree that having an override map is a bit of an overkill.,CASSANDRA-6157,and  I agree that having an override map is a bit of an overkill.,,Architectural solution benefits and drawbacks,7:2468 - 7:2532,1,arjan
32:24,One global on/of switch plus a  list of blacklist DCs to consider when…,CASSANDRA-6157,"One global on/of switch plus a  list of blacklist DCs to consider when the global switch is on should be more than enough.
",,"Architectural component behavior and structure
Architectural solution benefits and drawbacks",7:2534 - 7:2657,2,arjan
32:25,"Putting CSV in YAML is conceptually ugly, and so is mixing types here",CASSANDRA-6157,"Putting CSV in YAML is conceptually ugly, and so is mixing types here",,Architectural solution benefits and drawbacks,7:2658 - 7:2726,1,arjan
32:26,"Plus, the solution  as it is stands now supports selective enablement…",CASSANDRA-6157,"Plus, the solution  as it is stands now supports selective enablement vs. selective disablement (a blacklist),  contrary to the goal of the ticket.
",,Architectural solution benefits and drawbacks,7:2729 - 7:2877,1,arjan
33:1,There’s still an issue if multiple clients are connected to the same h…,CASSANDRA-10786,"There’s still an issue if multiple clients are connected to the same host. The frst client to execute  the query after the cache was invalidated will receive an UNPREPARED response, re-prepare,  and update its local metadata. But other clients might miss it entirely (the MD5 hasn’t changed),  and they will keep using their old metadata. For example:  # {{SELECT * ...}} statement is prepared in Cassandra with md5 abc123, clientA and clientB  both have a cache of the metadata (columns b and c) locally  # column a gets added to the table, C* invalidates its cache entry  # clientA sends an EXECUTE request for md5 abc123, gets UNPREPARED response, re-prepares  on the fy and updates its local metadata to (a, b, c)  # prepared statement is now in C*âĂŹs cache again, with the same md5 abc123  # clientB sends an EXECUTE request for id abc123. Because the cache has been populated  again, the query succeeds. But clientB still has not updated its metadata, itâĂŹs still (b,c)",,Run-time quality issues,3:427 - 3:1403,1,arjan
33:2,One solution that was suggested is to include a hash of the result set…,CASSANDRA-10786,"One solution that was suggested is to include a hash of the result set metadata in the md5.
This way the md5 would change at step 3, and any client using the old md5 would get an UN-  PREPARED, regardless of whether another client already reprepared.
",,Architectural design configuration,3:1406 - 3:1657,1,arjan
33:3,The following changes were made to native protocol v5:  - the PREPARED…,CASSANDRA-10786,"The following changes were made to native protocol v5:  - the PREPARED response includes {{result_metadata_id}}, a hash of the result set metadata.
- every EXECUTE message must provide {{result_metadata_id}} in addition to the prepared  statement id. If it doesn’t match the current one on the server, it means the client is operating  on a stale schema.
- to notify the client, the server returns a ROWS response with a new {{Metadata_changed}} fag,  2
the new {{result_metadata_id}} and the updated result metadata (this overrides the {{No_metadata}}  fag, even if the client had requested it)  - the client updates its copy of the result metadata before it decodes the results.
So the scenario above would now look like:  # {{SELECT * ...}} statement is prepared in Cassandra with md5 abc123, and result set (b, c)  that hashes to cde456  # column a gets added to the table, C* does not invalidate its cache entry, but only updates the  result set to (a, b, c) which hashes to ff789  # client sends an EXECUTE request for (statementId=abc123, resultId=cde456) and skip_metadata  fag  # cde456!=ff789, so C* responds with ROWS(..., no_metadata=false, metadata_changed=true,  new_metadata_id=ff789,col specs for (a,b,c))  # client updates its column specifcations, and will send the next execute queries with (statemen-  tId=abc123, resultId=ff789)  This works the same with multiple clients.
",,Architectural design configuration,3:1696 - 4:942,1,arjan
33:88,ifesdjeen,CASSANDRA-10786,ifesdjeen,,Comment,4:1026 - 4:1034,1,arjan
33:4,"After adding result metadata to md5, as the message metadata on the cl…",CASSANDRA-10786,"After adding result metadata to md5, as the message metadata on the client is never updated  and new client ID of the re-prepared message is not saved anywhere, client would fall into  the infnite re-prepare loop: * (1) try running the query  * fail with {{UNPREPARED}}  * re-prepare (although without saving the new ID)  * go to (1)",,"Architectural design configuration
Architectural solution benefits and drawbacks",4:1209 - 4:1541,2,arjan
33:5,I frst tried to transparently swap the request when getting {{UNPREPAR…,CASSANDRA-10786,"I frst tried to transparently swap the request when getting {{UNPREPARED}}, although  that would mean that the original ""outdated"" prepared query would re-prepare no matter  how many times it runs (even though results it returns would be correct).",,"Architectural design configuration
Architectural solution benefits and drawbacks",4:1544 - 4:1790,2,arjan
33:6,"On the other  hand, making changes in the {{BoundStatement}} itself (o…",CASSANDRA-10786,"On the other  hand, making changes in the {{BoundStatement}} itself (or in it’s {{PreparedStatement}})  might lead to undesired behaviour on the client-side or even be prone to races (when request  is sent assuming one id and metadata and came back after it got swapped).
",,"Architectural component behavior and structure
Architectural solution benefits and drawbacks",4:1792 - 4:2064,2,arjan
33:89,andrew.tolbert,CASSANDRA-10786,andrew.tolbert,,Comment,5:243 - 5:256,1,arjan
33:7,# this will be an issue in the case where a user has an older client i…,CASSANDRA-10786,"# this will be an issue in the case where a user has an older client install with a newer  C* install and they have this case where altering a table causes the prepared statement hash  to change, causing the repeating prepare as described.
",,Run-time quality issues,5:361 - 5:601,1,arjan
33:8,# this could also be a problem for cases of a cluster with mixed versi…,CASSANDRA-10786,"# this could also be a problem for cases of a cluster with mixed versions. If you have some  nodes at a newer version using this calculation, and others using the previous calculation you  will get diferent prepared ids depending on which node you hit. Depending on the driver  implementation this could be an issue.
",,Run-time quality issues,5:602 - 5:919,1,arjan
33:9,What do you think about the possibility of tying prepared statement id…,CASSANDRA-10786,"What do you think about the possibility of tying prepared statement id calculation to pro-  tocol versions? This way older clients that don’t know to handle such a case where the  prepared id can change will continue to work, and newer clients can be updated to support  these scenarios as part of also supporting a new protocol version (as [~ifesdjeen] is doing for  the java driver). This also would solve #2. The downside of tying this change to a protocol  version bump is that I imagine it defers this change quite a bit, and this fx would be really  nice to have as it will fx a problem a lot of users have run into.
",,Architectural design configuration,5:920 - 5:1543,1,arjan
33:10,This way older clients that don’t know to handle such a case where the…,CASSANDRA-10786,"This way older clients that don’t know to handle such a case where the  prepared id can change will continue to work, and newer clients can be updated to support  these scenarios as part of also supporting a new protocol version (as [~ifesdjeen] is doing for  the java driver). This also would solve #2. The downside of tying this change to a protocol  version bump is that I imagine it defers this change quite a bit, and this fx would be really  nice to have as it will fx a problem a lot of users have run into.",,Architectural solution benefits and drawbacks,5:1028 - 5:1541,1,arjan
33:90,ifesdjeen,CASSANDRA-10786,ifesdjeen,,Comment,5:1547 - 5:1555,1,arjan
33:11,[~adutra] has also proposed to make a toggle switch for this feature (…,CASSANDRA-10786,[~adutra] has also proposed to make a toggle switch for this feature (something  like {{invalidate_prepare_statements_on_schema_changes}}).,,Architectural component behavior and structure,5:1558 - 5:1696,1,arjan
33:12,Or wait for a protocol ver-  sion bump.,CASSANDRA-10786,Or wait for a protocol ver-  sion bump.,,Architectural design configuration,5:1698 - 5:1736,1,arjan
33:91,snazy,CASSANDRA-10786,snazy,,Comment,5:1742 - 5:1746,1,arjan
33:13,I’m +1 on this with a new protocol version (or option) for the mention…,CASSANDRA-10786," I’m +1 on this with a new protocol version (or option) for the mentioned reasons  plus it’s hard to explain to people. Happy if this goes in.
",,Architectural solution benefits and drawbacks,5:1748 - 5:1891,1,arjan
33:14,But I’m strongly (non-binding) -1 to change it in the current or previ…,CASSANDRA-10786,"But I’m strongly (non-binding) -1 to change it in the current or previous protocol versions.
",,Architectural solution benefits and drawbacks,5:1892 - 5:1985,1,arjan
33:92,thobbs,CASSANDRA-10786,thobbs,,Comment,5:1989 - 5:1994,1,arjan
33:15,I agree that it’s best to change this behavior as part of the v5 proto…,CASSANDRA-10786,"I agree that it’s best to change this behavior as part of the v5 protocol.
",,Architectural solution benefits and drawbacks,5:1997 - 5:2072,1,arjan
