issue_id,Added,Removed,Updated,Total,Existence,Property,Executive
MAPREDUCE-279,83,0,0,83,x,x,
YARN-1,65,47,0,112,x,,
MAPREDUCE-3582,32,0,0,32,,,
HDFS-4762,31,0,0,31,x,,
MAPREDUCE-3003,26,1,39,66,,,
HDFS-2096,24,4,0,28,,,x
HDFS-2178,20,0,0,20,,,x
MAPREDUCE-3543,13,0,0,13,,,x
MAPREDUCE-4238,12,0,0,12,,,x
MAPREDUCE-2765,10,0,0,10,x,x,
MAPREDUCE-2863,8,1,3,12,x,,x
MAPREDUCE-3868,8,8,0,16,,,
YARN-419,8,0,0,8,x,,
MAPREDUCE-2858,7,0,0,7,x,x,
MAPREDUCE-2719,6,0,0,6,x,,
HDFS-234,5,0,0,5,x,,x
HDFS-1623,11,4,0,15,x,x,
MAPREDUCE-4608,5,0,0,5,,,
YARN-29,4,0,0,4,x,,
MAPREDUCE-3078,3,0,0,3,x,,
MAPREDUCE-4416,3,0,0,3,,,
MAPREDUCE-3621,2,0,3,5,,,x
MAPREDUCE-2989,2,0,0,2,,,
MAPREDUCE-3735,2,0,0,2,,,
HDFS-2185,2,0,0,2,x,x,x
HDFS-3042,2,0,0,2,x,x,
HDFS-2696,2,0,0,2,,,
HDFS-3058,2,2,0,4,,x,
HDFS-2717,2,0,0,2,,,
MAPREDUCE-4267,2,0,0,2,,,
YARN-179,2,0,0,2,,,
MAPREDUCE-4899,2,0,0,2,x,,
MAPREDUCE-4498,1,0,3,4,,,x
HDFS-3480,1,0,2,3,,,
MAPREDUCE-4483,1,0,1,2,,,
MAPREDUCE-2677,1,0,0,1,,,
MAPREDUCE-3146,1,0,0,1,,,x
MAPREDUCE-3370,1,0,0,1,,,
MAPREDUCE-3505,1,0,0,1,,,
HDFS-2837,1,0,0,1,,,
MAPREDUCE-4197,1,0,0,1,,,
MAPREDUCE-4580,1,0,0,1,x,,
YARN-60,1,0,0,1,x,,
YARN-79,1,0,0,1,,,
YARN-78,1,0,0,1,x,,
MAPREDUCE-4723,1,0,0,1,,,
YARN-103,1,0,0,1,x,,
YARN-231,1,0,0,1,x,,
MAPREDUCE-4991,1,0,0,1,,,
MAPREDUCE-4141,0,3,4,7,,,
MAPREDUCE-2879,0,0,6,6,,,
MAPREDUCE-3545,0,2,1,3,,,x
HDFS-3136,0,2,1,3,,,x
MAPREDUCE-2868,0,0,2,2,,,
HDFS-3109,0,0,2,2,,,
HDFS-3895,0,0,2,2,,,
HDFS-2289,0,0,1,1,,,
MAPREDUCE-3297,0,1,0,1,x,,
MAPREDUCE-3478,0,0,1,1,,,
HDFS-3187,0,0,1,1,,,x
YARN-10,0,1,0,1,,,
HADOOP-6671,88,0,4,92,,,x
HADOOP-6963,1,0,0,1,,,
HADOOP-7119,15,0,0,15,x,x,x
HADOOP-7264,4,2,1,7,,,x
HADOOP-7470,0,0,1,1,,,x
HADOOP-7496,3,3,0,6,x,,
HADOOP-7498,0,1,0,1,,,
HADOOP-7536,0,0,4,4,,,
HADOOP-7560,156,156,0,312,x,,
HADOOP-7579,6,6,0,12,,,
HADOOP-7590,23,0,0,23,,,
HADOOP-7594,8,0,0,8,x,,
HADOOP-7595,0,0,4,4,,,x
HADOOP-7606,0,0,1,1,,,x
HADOOP-7642,9,0,0,9,,,
HADOOP-7737,0,0,1,1,,,
HADOOP-7743,0,1,0,1,,,
HADOOP-7810,10,0,0,10,,,
HADOOP-7907,4,0,0,4,,,
HADOOP-7914,0,1,0,1,,,
HADOOP-7920,0,2,0,2,,,x
HADOOP-7934,23,37,66,126,,,
HADOOP-7961,1,1,0,2,x,,
HADOOP-7992,2,0,0,2,x,,
HADOOP-8009,17,0,0,17,,,
HADOOP-8032,1,0,0,1,,,
HADOOP-8082,2,0,0,2,,,
HADOOP-8104,3,0,0,3,,,
HADOOP-8180,0,2,0,2,,,
HADOOP-8211,0,0,1,1,,,x
HADOOP-8278,28,22,0,50,,,
HADOOP-8284,0,1,0,1,,,
HADOOP-8368,4,6,0,10,,,x
HADOOP-8466,0,0,1,1,,,
HADOOP-8495,0,0,1,1,,,x
HADOOP-8687,0,0,1,1,,,x
HADOOP-8886,0,1,0,1,,,x
HADOOP-8887,3,3,0,6,,,x
HADOOP-8924,4,0,0,4,,,
HADOOP-8930,1,1,0,2,x,,
HADOOP-9264,2,1,0,3,,,
HADOOP-9301,0,0,7,7,,,
HADOOP-9334,5,5,2,12,,,x
HADOOP-9342,0,0,1,1,,,
HADOOP-9406,2,1,0,3,,,
HADOOP-9407,0,0,1,1,,,
HADOOP-9471,0,0,1,1,,,
HADOOP-9509,11,0,0,11,,,x
HADOOP-9550,0,2,1,3,,,
HADOOP-9605,0,0,1,1,,,x
