issue_id,Added,Removed,Updated,Total,Existence,Property,Executive
TAJO-752,49,50,0,99,x,,
TAJO-13,44,44,0,88,,,
TAJO-753,15,53,12,80,,,
TAJO-1233,58,19,0,77,,,
TAJO-1761,58,11,0,69,x,,
TAJO-1337,38,16,0,54,x,,
TAJO-1442,15,33,0,48,,,x
TAJO-456,23,13,2,38,x,,
TAJO-520,18,18,0,36,x,,
TAJO-2070,0,0,30,30,,,
TAJO-336,19,5,0,24,x,,
TAJO-1730,22,0,0,22,x,,x
TAJO-87,5,17,0,22,x,,
TAJO-1335,0,0,20,20,,,
TAJO-91,4,4,11,19,x,,
TAJO-1272,0,0,19,19,,,
TAJO-2074,0,0,19,19,,,x
TAJO-527,13,2,1,16,,x,x
TAJO-1750,0,0,16,16,,,x
TAJO-694,2,1,12,15,,,x
TAJO-1060,0,0,14,14,,,
TAJO-1229,7,7,0,14,,,
TAJO-1434,0,0,14,14,,,
TAJO-319,0,0,13,13,,,
TAJO-1269,13,0,0,13,x,,
TAJO-1738,0,0,13,13,x,,
TAJO-2102,5,3,5,13,,,x
TAJO-2148,13,0,0,13,,,
TAJO-135,0,0,12,12,,,x
TAJO-433,2,1,8,11,x,,
TAJO-431,2,0,8,10,,,
TAJO-1027,10,0,0,10,,,x
TAJO-2122,9,1,0,10,x,,
TAJO-1480,10,0,0,10,x,,x
TAJO-1160,0,9,0,9,x,,
TAJO-353,7,0,1,8,x,,
TAJO-1125,8,0,0,8,x,,
TAJO-1693,6,2,0,8,,,
TAJO-1397,0,1,6,7,x,x,
TAJO-1792,4,1,2,7,,,
TAJO-2037,3,2,2,7,,,
TAJO-1686,7,0,0,7,,,x
TAJO-137,6,0,0,6,,,
TAJO-714,3,0,3,6,,,x
TAJO-1281,4,2,0,6,,,
TAJO-1884,4,0,2,6,,,
TAJO-1960,6,0,0,6,x,,
TAJO-496,0,0,5,5,,,
TAJO-783,0,5,0,5,x,,
TAJO-1000,5,0,0,5,,,
TAJO-1329,5,0,0,5,x,,
TAJO-1529,4,0,1,5,,,
TAJO-1818,4,1,0,5,x,,
TAJO-1966,0,0,5,5,,x,
TAJO-1488,5,0,0,5,,,
TAJO-16,6,0,0,6,,,x
TAJO-711,0,0,4,4,x,,x
TAJO-737,4,0,0,4,,,
TAJO-932,0,0,4,4,,,x
TAJO-1237,2,2,0,4,,,
TAJO-1338,4,0,0,4,x,,
TAJO-1718,1,3,0,4,,,
TAJO-1826,3,1,0,4,,,
TAJO-2073,1,3,0,4,,,x
TAJO-2069,2,0,2,4,x,,x
TAJO-333,3,0,0,3,,,x
TAJO-30,3,0,0,3,x,,x
TAJO-1161,0,2,1,3,x,,
TAJO-1172,1,2,0,3,x,,x
TAJO-1616,2,1,0,3,x,,
TAJO-1831,3,0,0,3,x,,
TAJO-100,0,0,2,2,,,
TAJO-128,0,2,0,2,,,x
TAJO-311,0,0,2,2,,,
TAJO-62,2,0,0,2,x,,
TAJO-327,2,0,0,2,,,
TAJO-804,0,0,2,2,,,x
TAJO-906,2,0,0,2,x,x,x
TAJO-1149,2,0,0,2,x,,
TAJO-1246,0,0,2,2,,,
TAJO-1251,2,0,0,2,,,
TAJO-1317,2,0,0,2,x,x,
TAJO-1757,2,0,0,2,,,
TAJO-1340,2,0,0,2,x,,
TAJO-1493,4,2,0,6,x,,
TAJO-1870,0,0,2,2,,,
TAJO-2060,1,1,0,2,,,x
TAJO-2064,1,0,1,2,,,
TAJO-2109,2,0,0,2,x,x,
TAJO-79,0,0,1,1,x,,
TAJO-94,1,0,0,1,,,
TAJO-322,1,0,0,1,,,
TAJO-284,1,0,0,1,x,,
TAJO-405,0,1,0,1,x,,
TAJO-522,0,0,1,1,,,
TAJO-717,1,0,0,1,,,
TAJO-517,1,0,0,1,,,
TAJO-849,1,0,0,1,x,,x
TAJO-1109,1,0,0,1,x,,
TAJO-1151,1,0,0,1,x,,
TAJO-1184,0,0,1,1,,,x
TAJO-1095,1,0,0,1,x,,
TAJO-1286,1,0,0,1,,,
TAJO-1464,1,0,0,1,x,,x
TAJO-1803,0,0,1,1,x,,
TAJO-1896,0,0,1,1,,,
TAJO-2052,0,0,1,1,,,x
TAJO-2090,0,0,1,1,,,x
