Issue ID,Type 1,Type 2,Type 3
CASSANDRA-10217,Existence,,
CASSANDRA-10403,Executive,,
CASSANDRA-1070,Existence,,
CASSANDRA-10726,Existence,,
CASSANDRA-10786,Existence,,
CASSANDRA-1105,Existence,,
CASSANDRA-11218,Existence,,
CASSANDRA-11258,Existence,,
CASSANDRA-12245,Existence,,
CASSANDRA-1308,Executive,,
CASSANDRA-13304,Existence,,
CASSANDRA-13404,Existence,,
CASSANDRA-13457,Existence,,
CASSANDRA-14556,Existence,,
CASSANDRA-1472,Existence,,
CASSANDRA-14737,Existence,,
CASSANDRA-14829,Existence,,
CASSANDRA-1485,Existence,,
CASSANDRA-15389,Existence,,
CASSANDRA-15393,Existence,,
CASSANDRA-15399,Existence,,
CASSANDRA-1555,Executive,Existence,
CASSANDRA-16079,Property,,
CASSANDRA-16360,Executive,,
CASSANDRA-185,Existence,,
CASSANDRA-1871,Existence,,
CASSANDRA-1937,Existence,,
CASSANDRA-1944,Existence,,
CASSANDRA-2034,Existence,,
CASSANDRA-2124,Existence,,
CASSANDRA-2540,Existence,,
CASSANDRA-2820,Executive,,
CASSANDRA-2897,Existence,,
CASSANDRA-2982,Existence,,
CASSANDRA-3045,Executive,,
CASSANDRA-3237,Existence,,
CASSANDRA-332,Existence,,
CASSANDRA-342,Executive,Existence,
CASSANDRA-3569,Existence,,
CASSANDRA-3912,Existence,,
CASSANDRA-4285,Existence,,
CASSANDRA-4490,Existence,,
CASSANDRA-4609,Executive,,
CASSANDRA-4734,Existence,,
CASSANDRA-4874,Property,,
CASSANDRA-5062,Existence,,
CASSANDRA-5239,Existence,,
CASSANDRA-5351,Existence,,
CASSANDRA-5417,Existence,,
CASSANDRA-5426,Existence,,
CASSANDRA-5863,Existence,,
CASSANDRA-6146,Existence,,
CASSANDRA-6199,Existence,Property,
CASSANDRA-6230,Existence,,
CASSANDRA-6248,Existence,,
CASSANDRA-6252,Existence,,
CASSANDRA-6271,Existence,,
CASSANDRA-6356,Existence,,
CASSANDRA-6446,Existence,,
CASSANDRA-65,Existence,,
CASSANDRA-6689,Existence,,
CASSANDRA-6809,Existence,,
CASSANDRA-6890,Existence,,
CASSANDRA-6995,Existence,,
CASSANDRA-700,Existence,Property,
CASSANDRA-702,Existence,,
CASSANDRA-709,Executive,,
CASSANDRA-7296,Existence,,
CASSANDRA-7807,Existence,,
CASSANDRA-7813,Existence,,
CASSANDRA-782,Existence,,
CASSANDRA-827,Existence,,
CASSANDRA-8374,Existence,,
CASSANDRA-8460,Existence,,
CASSANDRA-8614,Executive,Existence,
CASSANDRA-8692,Existence,,
CASSANDRA-8789,Existence,,
CASSANDRA-8833,Existence,,
CASSANDRA-8897,Existence,,
CASSANDRA-8963,Existence,,
CASSANDRA-9264,Executive,,
CASSANDRA-9302,Property,,
CASSANDRA-9303,Executive,Existence,Property
CASSANDRA-9304,Existence,,
CASSANDRA-9402,Existence,Property,
CASSANDRA-9673,Existence,,
CASSANDRA-9769,Existence,,
CASSANDRA-9975,Existence,,
CASSANDRA-9988,Existence,,
HADOOP-10278,Property,,
HADOOP-10281,Existence,,
HADOOP-10448,Property,,
HADOOP-10769,Existence,Property,
HADOOP-10771,Existence,,
HADOOP-1111,Existence,,
HADOOP-11127,Property,,
HADOOP-11804,Existence,,
HADOOP-129,Existence,,
HADOOP-12909,Existence,,
HADOOP-12910,Existence,,
HADOOP-13081,Existence,,
HADOOP-13447,Existence,,
HADOOP-13448,Existence,,
HADOOP-13449,Existence,,
HADOOP-13651,Existence,,
HADOOP-14163,Property,,
HADOOP-15191,Existence,,
HADOOP-15229,Existence,,
HADOOP-15621,Existence,,
HADOOP-15996,Existence,,
HADOOP-16090,Existence,,
HADOOP-1622,Existence,,
HADOOP-1869,Existence,,
HADOOP-2012,Existence,,
HADOOP-2336,Existence,,
HADOOP-2664,Executive,,
HADOOP-2910,Existence,,
HADOOP-3136,Existence,,
HADOOP-3150,Existence,,
HADOOP-3187,Existence,,
HADOOP-3245,Existence,,
HADOOP-3315,Existence,,
HADOOP-372,Existence,,
HADOOP-3930,Existence,,
HADOOP-4284,Existence,,
HADOOP-432,Existence,,
HADOOP-441,Executive,,
HADOOP-4490,Property,,
HADOOP-4539,Existence,,
HADOOP-4575,Existence,,
HADOOP-474,Existence,,
HADOOP-4768,Existence,,
HADOOP-538,Existence,,
HADOOP-5469,Existence,,
HADOOP-5528,Existence,,
HADOOP-6105,Existence,Property,
HADOOP-6120,Executive,Existence,
HADOOP-6223,Existence,,
HADOOP-6226,Existence,,
HADOOP-6323,Existence,,
HADOOP-6349,Executive,,
HADOOP-6415,Existence,,
HADOOP-6419,Executive,,
HADOOP-6510,Existence,,
HADOOP-6568,Property,,
HADOOP-6714,Existence,,
HADOOP-6769,Existence,,
HADOOP-6837,Executive,,
HADOOP-6892,Existence,,
HADOOP-6978,Executive,,
HADOOP-6994,Existence,,
HADOOP-7119,Executive,,
