Issue ID,Added,Removed,Changed,Total,Type 1,Type 2,Type 3
CASSANDRA-2561,78,13,0,91
CASSANDRA-16391,29,39,20,88,Executive
CASSANDRA-1851,62,12,0,74
CASSANDRA-11115,0,15,0,15,Executive
CASSANDRA-15867,6,4,3,13,Executive
CASSANDRA-5201,6,6,0,12,Executive
CASSANDRA-14427,6,4,0,10,Executive
CASSANDRA-2998,3,6,0,9,Executive
CASSANDRA-3300,0,7,0,7
CASSANDRA-7128,2,2,1,5,Executive
CASSANDRA-7443,1,1,2,4,Existence,Property
CASSANDRA-10542,0,4,0,4,Executive
CASSANDRA-10786,0,4,0,4,Existence
CASSANDRA-14973,0,4,0,4
CASSANDRA-13741,2,2,0,4,Executive
CASSANDRA-5657,2,2,0,4,Executive
CASSANDRA-5838,2,2,0,4,Executive
CASSANDRA-8241,2,2,0,4,Executive
CASSANDRA-5872,0,1,2,3
CASSANDRA-10855,0,2,1,3,Property,Executive
CASSANDRA-15257,0,3,0,3,Executive
CASSANDRA-9493,0,3,0,3,Executive
CASSANDRA-7438,2,1,0,3,Existence,Property
CASSANDRA-6639,0,1,1,2,Executive
CASSANDRA-10653,0,2,0,2,Executive
CASSANDRA-10704,0,2,0,2,Executive
CASSANDRA-12845,0,2,0,2,Executive
CASSANDRA-2784,0,2,0,2
CASSANDRA-7248,0,2,0,2,Existence
CASSANDRA-7920,0,2,0,2,Existence
CASSANDRA-9035,0,2,0,2,Existence
CASSANDRA-9650,0,2,0,2,Executive
CASSANDRA-3159,1,1,0,2
YARN-1,65,47,0,112,Existence
MAPREDUCE-3003,26,1,39,66
HDFS-2096,24,4,0,28,Executive
MAPREDUCE-2863,8,1,3,12,Existence,Executive
MAPREDUCE-3868,8,8,0,16
HDFS-1623,11,4,0,15,Existence,Property
HDFS-3058,2,2,0,4,Property
MAPREDUCE-4141,0,3,4,7
MAPREDUCE-3545,0,2,1,3,Executive
HDFS-3136,0,2,1,3,Executive
MAPREDUCE-3297,0,1,0,1,Existence
YARN-10,0,1,0,1
HADOOP-7264,4,2,1,7,Executive
HADOOP-7496,3,3,0,6,Existence
HADOOP-7498,0,1,0,1
HADOOP-7560,156,156,0,312,Existence
HADOOP-7579,6,6,0,12
HADOOP-7743,0,1,0,1
HADOOP-7914,0,1,0,1
HADOOP-7920,0,2,0,2,Executive
HADOOP-7934,23,37,66,126
HADOOP-7961,1,1,0,2,Existence
HADOOP-8180,0,2,0,2
HADOOP-8278,28,22,0,50
HADOOP-8284,0,1,0,1
HADOOP-8368,4,6,0,10,Executive
HADOOP-8886,0,1,0,1,Executive
HADOOP-8887,3,3,0,6,Executive
HADOOP-8930,1,1,0,2,Existence
HADOOP-9264,2,1,0,3
HADOOP-9334,5,5,2,12,Executive
HADOOP-9406,2,1,0,3
HADOOP-9550,0,2,1,3
TAJO-752,49,50,0,99,Existence
TAJO-13,44,44,0,88
TAJO-753,15,53,12,80
TAJO-1233,58,19,0,77
TAJO-1761,58,11,0,69,Existence
TAJO-1337,38,16,0,54,Existence
TAJO-1442,15,33,0,48,Executive
TAJO-456,23,13,2,38,Existence
TAJO-520,18,18,0,36,Existence
TAJO-336,19,5,0,24,Existence
TAJO-87,5,17,0,22,Existence
TAJO-91,4,4,11,19,Existence
TAJO-527,13,2,1,16,Property,Executive
TAJO-694,2,1,12,15,Executive
TAJO-1229,7,7,0,14
TAJO-2102,5,3,5,13,Executive
TAJO-433,2,1,8,11,Existence
TAJO-2122,9,1,0,10,Existence
TAJO-1160,0,9,0,9,Existence
TAJO-1693,6,2,0,8
TAJO-1397,0,1,6,7,Existence,Property
TAJO-1792,4,1,2,7
TAJO-2037,3,2,2,7
TAJO-1281,4,2,0,6
TAJO-783,0,5,0,5,Existence
TAJO-1818,4,1,0,5,Existence
TAJO-1237,2,2,0,4
TAJO-1718,1,3,0,4
TAJO-1826,3,1,0,4
TAJO-2073,1,3,0,4,Executive
TAJO-1161,0,2,1,3,Existence
TAJO-1172,1,2,0,3,Existence,Executive
TAJO-1616,2,1,0,3,Existence
TAJO-128,0,2,0,2,Executive
TAJO-1493,4,2,0,6,Existence
TAJO-2060,1,1,0,2,Executive
TAJO-405,0,1,0,1,Existence
